,times,frequency,temperature,mass_flow,volume_flow,mouth_pressure,offset,theta,radius,alpha,z,x,alpha_ref,z_ref,x_ref,flow_ref
0,91.76047539710999,160.34169532021983,32.103126525878906,1.322265625,1.357421875,0.0005380285438150167,139.0,45.0,156.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,91.77666163444519,160.34169532021983,32.103126525878906,1.322265625,1.357421875,0.0005380285438150167,139.0,45.0,156.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,91.79587841033936,160.34169532021983,32.103126525878906,1.322265625,1.357421875,0.0005380285438150167,139.0,45.0,156.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,91.85310697555542,160.34169532021983,32.103126525878906,1.322265625,1.357421875,0.0001552344619994983,139.0,45.0,156.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,91.86908292770386,160.34169532021983,32.103126525878906,1.322265625,1.357421875,-0.00015170640836004168,139.0,45.0,156.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,92.01480031013489,160.34169532021983,32.109375,1.01953125,1.046875,-0.00026636820985004306,139.0,45.0,156.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,92.07662510871887,160.34169532021983,32.109375,0.966796875,0.994140625,-0.00032810919219627976,139.0,45.0,156.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,92.1055600643158,160.34169532021983,32.109375,0.966796875,0.994140625,-0.00032810919219627976,139.0,45.0,156.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,92.1368088722229,160.34169532021983,32.11249923706055,0.884765625,0.91015625,-0.00032810919219627976,139.0,45.0,156.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,92.16461753845215,160.34169532021983,32.11249923706055,0.884765625,0.91015625,-0.0003316372458357364,139.0,45.0,156.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,92.18187618255615,160.34169532021983,32.11562728881836,0.841796875,0.91015625,-0.0003316372458357364,139.0,45.0,156.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,92.19704079627991,160.34169532021983,32.11562728881836,0.841796875,0.865234375,-0.0003316372458357364,139.0,45.0,156.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,92.21104884147644,160.34169532021983,32.11562728881836,0.841796875,0.865234375,-0.0003633897576946765,139.0,45.0,156.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,92.29508566856384,160.34169532021983,32.11562728881836,0.841796875,0.865234375,-0.00038103002589195967,139.0,45.0,156.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,92.31738042831421,160.34169532021983,32.11562728881836,0.81640625,0.83984375,-0.00038103002589195967,139.0,45.0,156.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,92.35148167610168,160.34169532021983,32.11562728881836,0.81640625,0.83984375,-0.00038103002589195967,139.0,45.0,156.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,92.35576272010803,160.34169532021983,32.11562728881836,0.81640625,0.83984375,-0.0003933782281819731,139.0,45.0,156.54,0.0,0.0,0.0,0.0,11.576,2.448,0.0
17,92.3686625957489,124.6397780408701,32.118751525878906,0.783203125,0.8046875,-0.0003933782281819731,139.0,45.0,156.54,0.0,0.0,0.0,0.0,11.576,2.448,0.0
18,92.40379858016968,124.6397780408701,32.118751525878906,0.76953125,0.7890625,-0.00038103002589195967,139.0,45.0,156.54,0.0,0.0,0.0,0.0,11.576,2.448,0.0
19,92.44305849075317,124.6397780408701,32.118751525878906,0.76953125,0.7890625,-0.00041454657912254333,139.0,45.0,156.54,0.0,0.0,0.0,0.0,11.576,2.448,0.0
20,92.53892922401428,124.6397780408701,32.12187576293945,0.76171875,0.783203125,-0.00040572643047198653,139.0,45.0,156.54,0.0,0.0,0.0,0.0,11.576,2.448,0.0
21,92.63916087150574,124.6397780408701,32.125,0.75,0.771484375,-0.00040572643047198653,139.0,45.0,156.54,0.0,0.0,0.0,0.0,11.576,2.448,0.0
22,92.69510197639465,124.6397780408701,32.125,0.73828125,0.7578125,-0.00041454657912254333,139.0,45.0,156.54,0.0,0.0,0.0,0.0,11.576,2.448,0.0
23,92.73068952560425,124.6397780408701,32.12812423706055,0.736328125,0.755859375,-0.0004216026864014566,139.0,45.0,156.54,0.0,0.0,0.0,0.0,11.576,2.448,0.0
24,92.77324748039246,124.6397780408701,32.12812423706055,0.736328125,0.755859375,-0.0004216026864014566,139.0,45.0,156.54,0.0,0.0,0.0,0.0,11.576,2.448,0.0
25,92.88338208198547,124.6397780408701,32.12812423706055,0.734375,0.75390625,-0.0004304228350520134,139.0,45.0,156.54,0.0,0.0,0.0,0.0,23.16,5.056,0.0
26,93.02658653259277,124.6397780408701,32.134376525878906,0.7265625,0.74609375,-0.0004304228350520134,139.0,45.0,156.32,0.0,0.0,0.48,0.0,23.16,5.056,0.0
27,93.08165693283081,124.6397780408701,32.134376525878906,0.7265625,0.74609375,-0.00038632212090305984,138.43,45.0,155.66,0.0,0.57,0.82,0.0,23.16,5.056,0.0
28,93.11356782913208,14700.0,32.13750076293945,0.7265625,0.74609375,-0.00038632212090305984,138.43,45.0,155.66,0.0,0.57,0.82,0.0,23.16,5.056,0.0
29,93.18672060966492,14700.0,32.13750076293945,0.7265625,0.74609375,-0.0004551192105282098,138.43,45.0,155.66,0.0,0.57,0.82,0.0,23.16,5.056,0.0
30,93.28453803062439,14700.0,32.140625,0.7265625,0.74609375,-0.0004956918419338763,136.52,45.0,153.8,0.0,2.48,1.18,0.0,23.16,5.056,0.0
31,93.39284586906433,14700.0,32.140625,0.7265625,0.74609375,-0.00048687172238714993,135.48,45.0,152.59,0.0,3.52,1.79,0.0,23.16,5.056,0.0
32,93.47378754615784,14700.0,32.14374923706055,0.7265625,0.74609375,-0.0005186242051422596,134.18,45.0,151.29,0.0,4.82,2.11,0.0,34.744,7.848,0.0
33,93.50148034095764,14700.0,32.14374923706055,0.7265625,0.74609375,-0.0005133321392349899,132.7,45.0,149.98,0.0,6.3,2.11,0.0,34.744,7.848,0.0
34,93.53423881530762,14700.0,32.14687728881836,0.7265625,0.74609375,-0.0005133321392349899,130.86,45.0,148.35,0.0,8.14,2.11,0.0,34.744,7.848,0.0
35,93.55987071990967,14700.0,32.14687728881836,0.7265625,0.74609375,-0.000488635734654963,130.86,45.0,148.18,0.0,8.14,2.47,0.0,34.744,7.848,0.0
36,93.57613253593445,14700.0,32.14687728881836,0.7265625,0.74609375,-0.0004851076810155064,130.86,45.0,148.18,0.0,8.14,2.47,0.0,34.744,7.848,0.0
37,93.64874911308289,175.15526945678036,32.14687728881836,0.7265625,0.74609375,-0.00047628756146878004,130.86,45.0,148.18,0.0,8.14,2.47,0.0,34.744,7.848,0.0
38,93.71073603630066,175.15526945678036,32.150001525878906,0.7265625,0.74609375,-0.0004974558833055198,129.46,45.0,146.73,0.0,9.54,2.95,0.0,34.744,7.848,0.0
39,93.77265954017639,175.15526945678036,32.15312576293945,0.7265625,0.74609375,-0.0004939278005622327,127.82,45.0,144.99,0.0,11.18,3.56,0.0,34.744,7.848,0.0
40,93.83154249191284,175.15526945678036,32.15312576293945,0.728515625,0.748046875,-0.0005168601637706161,127.82,45.0,144.99,0.0,11.18,3.56,0.0,34.744,7.848,0.0
41,94.05461478233337,175.15526945678036,32.15625,0.728515625,0.748046875,-0.0004639393591787666,126.16,45.0,143.35,0.0,12.84,3.93,0.0,46.328,10.84,0.0
42,94.06127095222473,175.15526945678036,32.15625,0.728515625,0.748046875,-0.0004639393591787666,124.28,45.0,141.45,0.0,14.72,4.45,0.0,46.328,10.84,0.0
43,94.10616827011108,175.15526945678036,32.15625,0.728515625,0.748046875,-0.00047805157373659313,121.75,45.0,139.24,0.0,17.25,4.45,0.0,46.328,10.84,0.0
44,94.16262245178223,175.15526945678036,32.15625,0.728515625,0.748046875,-0.0005027479492127895,119.84,45.0,137.31,0.0,19.16,4.98,0.0,46.328,10.84,0.0
