,times,frequency,temperature,mass_flow,volume_flow,mouth_pressure,offset,theta,radius,alpha,z,x,alpha_ref,z_ref,x_ref,flow_ref,offset_ref,theta_ref,radius_ref
0,0.0,119.8975417338919,28.600000381469727,0.828125,1.28125,0.0,0.49,43.02,8.5,-1.98,78.5,83.54,-1.98,78.5,83.54,-1.98,0.49,43.02,8.5
1,0.05284905433654785,119.8975417338919,28.600000381469727,7.6953125,11.87890625,0.0,0.49,43.02,8.5,-1.98,78.5,83.54,-1.98,78.5,83.54,-1.98,0.49,43.02,8.5
2,0.10715985298156738,114.24433368318354,28.603124618530273,12.322265625,18.96875,0.0,0.53,42.98,8.5,-2.02,78.5,83.54,-2.02,78.5,83.54,-2.02,0.53,42.98,8.5
3,0.1587362289428711,114.13168089420154,28.603124618530273,14.33203125,22.060546875,0.0,0.53,42.98,8.5,-2.02,78.5,83.54,-2.02,78.5,83.54,-2.02,0.53,42.98,8.5
4,0.2108933925628662,114.28318776412844,28.606250762939453,15.267578125,23.498046875,0.0,0.53,42.98,8.5,-2.02,78.5,83.54,-2.02,78.5,83.54,-2.02,0.53,42.98,8.5
5,0.2626492977142334,114.43709693436463,28.606250762939453,15.6875,24.146484375,0.0,0.53,42.98,8.5,-2.02,78.5,83.54,-2.02,78.5,83.54,-2.02,0.53,42.98,8.5
6,0.3144195079803467,114.43709693436463,28.606250762939453,15.873046875,24.431640625,0.0,0.53,42.98,8.5,-2.02,78.5,83.54,-2.02,78.5,83.54,-2.02,0.53,42.98,8.5
7,0.36653757095336914,117.23962790805926,28.606250762939453,15.94921875,24.546875,0.0,0.53,42.98,8.5,-2.02,78.5,83.54,-2.02,78.5,83.54,-2.02,0.53,42.98,8.5
8,0.4184885025024414,117.23223576489654,28.603124618530273,15.982421875,24.595703125,0.0,0.53,42.98,8.5,-2.02,78.5,83.54,-2.02,78.5,83.54,-2.02,0.53,42.98,8.5
9,0.4703221321105957,117.15212038345666,28.603124618530273,15.998046875,24.623046875,0.0,0.53,42.98,8.5,-2.02,78.5,83.54,-2.02,78.5,83.54,-2.02,0.53,42.98,8.5
10,0.5228896141052246,115.67091164364057,28.600000381469727,16.005859375,24.6328125,0.0,0.53,42.98,8.5,-2.02,78.5,83.54,-2.02,78.5,83.54,-2.02,0.53,42.98,8.5
11,0.5772020816802979,115.67091164364057,28.59687614440918,16.0078125,24.63671875,0.0,0.53,42.98,8.5,-2.02,78.5,83.54,-2.02,78.5,83.54,-2.02,0.53,42.98,8.5
12,0.6301712989807129,116.46785286917553,28.59375,16.009765625,24.640625,0.0,0.53,42.98,8.5,-2.02,78.5,83.54,-2.02,78.5,83.54,-2.02,0.53,42.98,8.5
13,0.6819238662719727,116.25380106150905,28.59375,16.009765625,24.640625,0.0,0.53,42.98,8.49,-2.02,78.5,83.54,-1.98,78.46,83.55,-1.98,0.52,43.02,8.48
14,0.7336370944976807,116.7834290858918,28.590625762939453,16.078125,24.744140625,0.0,0.63,43.13,8.35,-1.87,78.23,83.69,-1.84,78.29,83.63,-1.84,0.53,43.16,8.4
15,0.7854645252227783,116.7834290858918,28.587499618530273,16.33984375,25.140625,0.0,0.52,43.34,8.31,-1.66,78.1,83.72,-1.62,78.07,83.72,-1.62,0.51,43.38,8.31
16,0.8385987281799316,116.8099318954918,28.587499618530273,16.42578125,25.271484375,0.0,0.57,43.52,8.21,-1.48,77.85,83.82,-1.4,77.85,83.82,-1.4,0.49,43.6,8.21
17,0.8912508487701416,116.11779642154478,28.584375381469727,16.4765625,25.34765625,0.0,0.52,43.78,8.11,-1.22,77.62,83.91,-1.22,77.62,83.91,-1.22,0.52,43.78,8.11
18,0.9430215358734131,116.73865322620144,28.58125114440918,16.494140625,25.375,0.0,0.57,43.92,8.02,-1.08,77.41,84.0,-1.04,77.42,84.0,-1.04,0.52,43.96,8.02
19,0.9954111576080322,117.50444834962224,28.578125,16.505859375,25.390625,0.0,0.51,43.99,8.01,-1.01,77.39,84.01,-1.01,77.39,84.02,-1.01,0.51,43.99,8.0
20,1.047422170639038,117.50444834962224,28.571874618530273,16.50390625,25.388671875,0.0,0.51,43.99,8.0,-1.01,77.39,84.02,-1.01,77.39,84.02,-1.01,0.51,43.99,8.0
21,1.0992882251739502,121.34448040974449,28.571874618530273,16.50390625,25.38671875,0.0,0.51,43.99,8.0,-1.01,77.39,84.02,-1.01,77.39,84.02,-1.01,0.51,43.99,8.0
22,1.1521673202514648,133.38054002576456,28.56562614440918,16.501953125,25.384765625,0.0,0.51,43.99,8.0,-1.01,77.39,84.02,-1.01,77.39,84.02,-1.01,0.51,43.99,8.0
23,1.2041990756988525,133.26211306338203,28.5625,16.50390625,25.388671875,0.0,0.51,43.99,8.0,-1.01,77.39,84.02,-1.01,77.39,84.02,-1.01,0.51,43.99,8.0
24,1.2559447288513184,133.26211306338203,28.556249618530273,16.505859375,25.38671875,0.0,0.51,43.99,8.0,-1.01,77.39,84.02,-1.01,77.39,84.02,-1.01,0.51,43.99,8.0
25,1.3082239627838135,131.51498859338275,28.556249618530273,16.50390625,25.38671875,0.0,0.51,43.99,8.0,-1.01,77.39,84.02,-1.01,77.39,84.02,-1.01,0.51,43.99,8.0
26,1.3600819110870361,130.97862628526775,28.55000114440918,16.50390625,25.38671875,0.0,0.51,43.99,8.0,-1.01,77.39,84.02,-1.01,77.39,84.02,-1.01,0.51,43.99,8.0
27,1.4124751091003418,131.10176965372304,28.543750762939453,16.50390625,25.38671875,0.0,0.51,43.99,8.0,-1.01,77.39,84.02,-1.01,77.39,84.02,-1.01,0.51,43.99,8.0
28,1.4650335311889648,131.99375877998392,28.540624618530273,16.501953125,25.3828125,0.0,0.51,43.99,8.0,-1.01,77.39,84.02,-1.01,77.39,84.02,-1.01,0.51,43.99,8.0
29,1.5168061256408691,131.99375877998392,28.537500381469727,16.50390625,25.3828125,0.0,0.51,43.99,8.0,-1.01,77.39,84.02,-1.01,77.39,84.02,-1.01,0.51,43.99,8.0
