,times,frequency,temperature,mass_flow,volume_flow,mouth_pressure,offset,theta,radius,alpha,z,x,alpha_ref,z_ref,x_ref,flow_ref,offset_ref,theta_ref,radius_ref
0,0.0,10287.094922313194,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.98,74.69,85.17,1.98,-1.48,46.98,6.0
1,0.07324981689453125,14700.0,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.98,74.69,85.17,1.98,-1.48,46.98,6.0
2,0.13857555389404297,14700.0,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.98,74.69,85.17,1.98,-1.48,46.98,6.0
3,0.20197296142578125,267.11711970512624,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,2.02,74.69,85.17,2.02,-1.52,47.02,6.01
4,0.2637152671813965,224.08671489106942,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.94,74.73,85.14,1.94,-1.48,46.94,6.03
5,0.32392191886901855,282.2022676757383,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.87,74.8,85.06,1.87,-1.48,46.87,6.11
6,0.3833198547363281,253.74337931705307,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.8,74.89,84.98,1.8,-1.49,46.8,6.19
7,0.45131778717041016,210.75783658458673,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.73,74.96,84.9,1.73,-1.49,46.73,6.27
8,0.5131485462188721,197.5432093506605,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.66,75.06,84.81,1.66,-1.51,46.66,6.36
9,0.5717558860778809,211.1277843384022,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.55,75.13,84.73,1.55,-1.47,46.55,6.43
10,0.6316874027252197,222.82208177092608,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.51,75.2,84.66,1.51,-1.51,46.51,6.5
11,0.692070484161377,166.3937345257371,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.58,75.1,84.7,1.58,-1.48,46.58,6.46
12,0.7535398006439209,209.46138921023243,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.87,74.77,84.81,1.87,-1.46,46.87,6.35
13,0.8140311241149902,306.0168488229822,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,2.59,73.93,85.07,2.59,-1.37,47.59,6.08
14,0.8758580684661865,190.0661601503646,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,3.38,73.01,85.48,3.38,-1.27,48.38,5.69
15,0.9377398490905762,215.62623489361067,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,4.21,72.02,85.82,4.21,-1.13,49.21,5.37
16,1.0072944164276123,272.282215458497,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,4.82,71.36,86.15,4.82,-1.08,49.82,5.08
17,1.071110486984253,14700.0,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,5.0,71.1,86.24,5.0,-1.01,50.0,5.0
18,1.132075309753418,278.7223355407779,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,4.9,71.18,86.19,4.9,-0.98,49.9,5.04
19,1.1959757804870605,205.27977411926378,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,4.43,71.51,85.98,4.43,-0.83,49.43,5.2
20,1.2563385963439941,316.28134046772686,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,3.71,72.22,85.59,3.71,-0.81,48.71,5.54
21,1.3163666725158691,183.06247545639042,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,2.92,72.96,85.25,2.92,-0.74,47.92,5.84
22,1.3811092376708984,8137.789182667606,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,2.12,73.67,84.89,2.12,-0.63,47.12,6.16
23,1.444256067276001,168.55656718049747,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.48,74.22,84.6,1.48,-0.49,46.48,6.43
24,1.5075430870056152,167.48714000448274,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.3,74.41,84.52,1.3,-0.49,46.3,6.5
25,1.563066005706787,167.99062880082684,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.22,74.45,84.53,1.22,-0.45,46.22,6.49
26,1.6254100799560547,167.46174732332844,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,0.83,74.68,84.59,0.83,-0.26,45.83,6.42
27,1.6909079551696777,165.29529093326147,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,0.29,74.97,84.69,0.29,0.03,45.29,6.31
28,1.74627685546875,162.8067006717579,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,-0.22,75.22,84.78,-0.22,0.31,44.78,6.23
29,1.8003597259521484,166.3704629918627,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,-0.61,75.45,84.86,-0.61,0.5,44.39,6.16
30,1.8567466735839844,168.76252785369135,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,-1.08,75.68,84.97,-1.08,0.76,43.92,6.08
