,times,frequency,temperature,mass_flow,volume_flow,mouth_pressure,offset,theta,radius,alpha,z,x,alpha_ref,z_ref,x_ref,flow_ref,offset_ref,theta_ref,radius_ref
0,0.0,927.0339666873365,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.98,74.69,85.17,1.98,-1.48,46.98,6.0
1,0.05240607261657715,196.4338112302889,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.98,74.69,85.17,1.98,-1.48,46.98,6.0
2,0.1042487621307373,1015.8002754748985,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.98,74.69,85.17,1.98,-1.48,46.98,6.0
3,0.15572047233581543,1044.244955617927,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,2.02,74.69,85.17,2.02,-1.52,47.02,6.01
4,0.20723342895507812,1059.6212287244243,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,2.02,74.69,85.17,2.02,-1.52,47.02,6.01
5,0.2603268623352051,212.33588706355133,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.94,74.72,85.15,1.94,-1.47,46.94,6.02
6,0.31444692611694336,207.28205338763797,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.91,74.79,85.08,1.91,-1.51,46.91,6.09
7,0.3676323890686035,210.42593202134043,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.84,74.86,84.99,1.84,-1.5,46.84,6.18
8,0.4192967414855957,206.80562335326087,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.76,74.93,84.94,1.76,-1.5,46.76,6.22
9,0.47232794761657715,210.16604549525923,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.69,75.0,84.87,1.69,-1.5,46.69,6.29
10,0.5247454643249512,206.29076395449238,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.62,75.07,84.8,1.62,-1.49,46.62,6.36
11,0.5771195888519287,209.71522888457588,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.55,75.12,84.73,1.55,-1.47,46.55,6.42
12,0.6293001174926758,203.10587885017375,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.51,75.19,84.66,1.51,-1.5,46.51,6.49
13,0.681891918182373,1742.07117836791,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.58,75.1,84.7,1.58,-1.48,46.58,6.46
14,0.7343828678131104,1739.8135522081031,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.73,74.95,84.75,1.73,-1.49,46.73,6.41
15,0.7866461277008057,1734.5514689519327,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,2.23,74.4,84.94,2.23,-1.47,47.23,6.22
16,0.8385176658630371,1741.7987998224403,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,2.92,73.6,85.24,2.92,-1.38,47.92,5.93
17,0.8905017375946045,1757.2635681141858,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,3.6,72.79,85.55,3.6,-1.27,48.6,5.63
18,0.9421403408050537,1738.5796498751174,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,4.25,72.0,85.86,4.25,-1.14,49.25,5.34
19,0.9937245845794678,1332.5525026636797,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,4.68,71.4,86.11,4.68,-0.97,49.68,5.1
20,1.0455710887908936,1453.3988519557734,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,5.0,71.1,86.24,5.0,-1.01,50.0,5.0
21,1.0972380638122559,1544.6370028258239,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,5.0,71.1,86.24,5.0,-1.01,50.0,5.0
22,1.1498093605041504,1517.3708627532576,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,4.86,71.21,86.18,4.86,-0.96,49.86,5.05
23,1.201831579208374,1524.2859073317047,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,4.43,71.57,85.98,4.43,-0.89,49.43,5.21
24,1.2538206577301025,190.44751630758844,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,3.78,72.14,85.65,3.78,-0.81,48.78,5.49
25,1.3059210777282715,1696.1553598284409,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,3.13,72.75,85.33,3.13,-0.75,48.13,5.77
26,1.3578214645385742,1668.0043692121014,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,2.41,73.38,85.02,2.41,-0.63,47.41,6.04
27,1.409358024597168,1727.4016795943348,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.76,73.97,84.72,1.76,-0.54,46.76,6.32
28,1.461921215057373,1754.1317325786968,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.4,74.33,84.56,1.4,-0.53,46.4,6.47
29,1.5143229961395264,1687.4611320396614,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.3,74.41,84.52,1.3,-0.49,46.3,6.5
30,1.5672993659973145,1731.6563276627696,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,1.19,74.46,84.54,1.19,-0.42,46.19,6.48
31,1.6208727359771729,1668.2454769367403,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,0.83,74.66,84.58,0.83,-0.24,45.83,6.43
32,1.6733827590942383,1457.7880742509153,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,0.4,74.89,84.66,0.4,-0.01,45.4,6.34
33,1.7254624366760254,1450.666106862987,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,-0.04,75.11,84.73,-0.04,0.23,44.96,6.28
34,1.777956247329712,1458.4277603970172,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,-0.47,75.34,84.82,-0.47,0.45,44.53,6.2
35,1.8297808170318604,1571.7262625566707,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,-0.79,75.57,84.91,-0.79,0.57,44.21,6.11
36,1.883692741394043,1569.2766671932868,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,-1.26,75.79,85.02,-1.26,0.84,43.74,6.04
37,1.9357733726501465,1584.153486015779,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,-1.51,75.89,85.08,-1.51,1.01,43.49,6.0
38,1.9884142875671387,1752.4045007470918,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,-1.48,75.9,85.05,-1.48,0.96,43.52,6.02
39,2.040494918823242,1712.60702531281,0.0,0.0,0.0,0.0,75.3,45.0,118.11,0.0,0.0,0.0,-1.44,75.97,84.92,-1.44,0.86,43.56,6.14
