,times,frequency,temperature,mass_flow,volume_flow,mouth_pressure,offset,theta,radius,alpha,z,x,alpha_ref,z_ref,x_ref,flow_ref,offset_ref,theta_ref,radius_ref
0,0.0,2100.0,27.44062614440918,0.7265625,1.1171875,-8.939470291137695,0.15,32.04,4.5,-12.96,89.42,84.33,-12.96,89.42,84.33,0.0,0.15,32.04,4.5
1,0.07625436782836914,2100.0,27.44062614440918,0.7265625,1.1171875,-9.073258399963379,0.15,32.04,4.5,-12.96,89.42,84.33,-12.96,89.42,84.33,0.0,0.15,32.04,4.5
2,0.14771413803100586,2100.0,27.44062614440918,0.7265625,1.1171875,602.8243408203125,0.15,32.04,4.5,-12.96,89.42,84.33,-12.96,89.42,84.33,30.0,0.15,32.04,4.5
3,0.20994853973388672,2100.0,27.44062614440918,16.79296875,25.3046875,225.2381591796875,0.25,31.95,4.5,-13.05,89.42,84.33,-12.96,89.42,84.33,30.0,0.15,32.04,4.5
4,0.2737700939178467,2100.0,27.44062614440918,27.041015625,40.828125,338.3863220214844,0.25,31.95,4.5,-13.05,89.42,84.33,-12.96,89.42,84.33,30.0,0.15,32.04,4.5
5,0.33622145652770996,2100.0,27.44062614440918,28.580078125,43.16796875,315.39910888671875,0.25,31.95,4.5,-13.05,89.42,84.33,-12.96,89.42,84.33,30.0,0.15,32.04,4.5
6,0.39714956283569336,2100.0,27.44062614440918,29.318359375,44.29296875,311.3125,0.25,31.95,4.5,-13.05,89.42,84.33,-12.96,89.42,84.33,30.0,0.15,32.04,4.5
7,0.45822906494140625,2100.0,27.4375,29.65234375,44.80078125,314.2071838378906,0.25,31.95,4.5,-13.05,89.42,84.33,-12.96,89.42,84.33,30.0,0.15,32.04,4.5
8,0.5228307247161865,2100.0,27.434375762939453,29.94140625,45.23046875,310.02325439453125,0.25,31.95,4.5,-13.05,89.42,84.33,-12.96,89.42,84.33,30.0,0.15,32.04,4.5
9,0.5851001739501953,2100.0,27.428125381469727,29.9765625,45.283203125,313.0760498046875,0.25,31.95,4.5,-13.05,89.42,84.33,-12.96,89.42,84.33,30.0,0.15,32.04,4.5
10,0.6474049091339111,2100.0,27.42500114440918,29.99609375,45.3125,311.4706115722656,0.25,31.95,4.5,-13.05,89.42,84.33,-12.96,89.42,84.33,30.0,0.15,32.04,4.5
11,0.7079799175262451,2100.0,27.418750762939453,30.0078125,45.326171875,310.4489440917969,0.25,31.95,4.5,-13.05,89.42,84.33,-12.96,89.42,84.33,30.0,0.15,32.04,4.5
12,0.7714364528656006,2100.0,27.40937614440918,30.017578125,45.341796875,312.16387939453125,0.25,31.95,4.5,-13.05,89.42,84.33,-12.96,89.42,84.33,30.0,0.15,32.04,4.5
13,0.8333525657653809,2100.0,27.403125762939453,30.017578125,45.341796875,313.23419189453125,0.25,31.95,4.5,-13.05,89.42,84.33,-12.96,89.42,84.33,30.0,0.15,32.04,4.5
14,0.8967084884643555,2100.0,27.396875381469727,30.017578125,45.33984375,311.39764404296875,0.25,31.95,4.5,-13.05,89.42,84.33,-12.96,89.42,84.33,30.0,0.15,32.04,4.5
15,0.9594173431396484,2100.0,27.387500762939453,30.015625,45.337890625,311.9449462890625,0.25,31.95,4.5,-13.05,89.42,84.33,-12.96,89.42,84.33,30.0,0.15,32.04,4.5
16,1.023012399673462,2100.0,27.371875762939453,30.013671875,45.333984375,313.781494140625,0.25,31.95,4.5,-13.05,89.42,84.33,-12.96,89.42,84.33,30.0,0.15,32.04,4.5
17,1.0866904258728027,2100.0,27.36250114440918,30.01171875,45.330078125,310.72869873046875,0.25,31.95,4.5,-13.05,89.42,84.33,-12.96,89.42,84.33,30.0,0.15,32.04,4.5
18,1.1489238739013672,2100.0,27.356250762939453,30.01171875,45.330078125,311.99359130859375,0.25,31.95,4.5,-13.05,89.42,84.33,-12.96,89.42,84.33,30.0,0.15,32.04,4.5
19,1.2120978832244873,2100.0,27.34687614440918,30.0078125,45.322265625,309.5367736816406,0.25,31.95,4.5,-13.05,89.42,84.33,-12.96,89.42,84.33,30.0,0.15,32.04,4.5
20,1.2751741409301758,2100.0,27.328125,30.01171875,45.3203125,311.2760009765625,0.25,31.95,4.5,-13.05,89.42,84.33,-12.96,89.55,83.72,30.0,0.16,32.04,5.12
21,1.3380358219146729,2100.0,27.318750381469727,30.00390625,45.30859375,312.6138916015625,0.28,31.95,4.62,-13.05,89.42,84.21,-12.96,89.57,83.64,29.0,0.16,32.04,5.2
22,1.400831937789917,2100.0,27.309375762939453,29.548828125,44.638671875,295.47686767578125,0.4,31.95,5.8,-13.05,89.57,83.04,-12.96,89.57,83.64,29.0,0.16,32.04,5.2
23,1.4639575481414795,2100.0,27.30000114440918,29.228515625,44.17578125,293.3970642089844,0.33,31.95,5.53,-13.05,89.57,83.31,-12.96,89.57,83.64,29.0,0.16,32.04,5.2
24,1.5254502296447754,2100.0,27.278125762939453,29.06640625,43.939453125,293.8957214355469,0.29,31.95,5.38,-13.05,89.58,83.46,-12.96,89.57,83.64,29.0,0.16,32.04,5.2
25,1.5883493423461914,2100.0,27.26875114440918,29.044921875,43.908203125,291.621337890625,0.27,31.95,5.3,-13.05,89.58,83.54,-12.96,89.57,83.64,29.0,0.16,32.04,5.2
26,1.6504077911376953,2100.0,27.256250381469727,29.0234375,43.875,289.4077453613281,0.25,31.95,5.22,-13.05,89.58,83.62,-13.23,89.88,83.53,29.0,0.17,31.77,5.38
27,1.712965965270996,2100.0,27.246875762939453,29.015625,43.86328125,292.6794738769531,0.28,31.95,5.36,-13.05,89.58,83.48,-14.04,90.97,83.15,29.0,0.05,30.96,6.0
28,1.7745726108551025,2100.0,27.225000381469727,28.875,43.650390625,294.8322448730469,0.3,31.5,5.84,-13.5,90.14,83.12,-14.04,90.97,83.15,28.0,0.05,30.96,6.0
29,1.8365066051483154,2100.0,27.212499618530273,28.36328125,42.900390625,269.8260498046875,-0.25,31.14,6.35,-13.86,91.14,82.84,-14.04,90.97,83.15,28.0,0.05,30.96,6.0
30,1.898327350616455,2100.0,27.203125,28.154296875,42.59765625,274.5451354980469,-0.15,31.05,6.12,-13.95,91.09,83.06,-13.68,90.62,83.05,28.0,0.03,31.32,6.02
31,1.9625322818756104,2100.0,27.193750381469727,28.091796875,42.50390625,274.9951477050781,-0.15,31.05,6.07,-13.95,91.08,83.11,-11.88,88.84,82.57,28.0,-0.04,33.12,6.09
32,2.025843620300293,2100.0,27.171875,27.912109375,42.23828125,273.01263427734375,-0.3,31.77,6.27,-13.23,90.52,82.77,-8.01,85.06,81.75,27.0,-0.28,36.99,6.24
33,2.0881145000457764,2100.0,27.162500381469727,27.337890625,41.392578125,251.01060485839844,-4.58,37.8,7.97,-7.2,88.48,81.85,-5.04,82.03,81.27,27.0,-0.37,39.96,6.36
34,2.1508257389068604,2100.0,27.149999618530273,27.1640625,41.138671875,256.59320068359375,-0.44,41.13,6.53,-3.87,80.87,81.0,-3.96,80.96,81.14,27.0,-0.45,41.04,6.4
