Axis,Frequency,Amplitude,MSE
X,0.5,1,0.004434615
X,0.5,5,0.055203828
X,0.5,10,0.271095673
X,1,1,0.010780769
X,1,5,0.254566507
X,1,10,0.956021256
X,2,1,0.024420192
X,2,5,0.573633173
X,2,10,2.041521053
X,4,1,0.149697596
X,4,5,4.1718689
X,4,10,27.71850242
Z,0.5,1,0.002109091
Z,0.5,5,0.039361538
Z,0.5,10,0.161207177
Z,1,1,0.007414904
Z,1,5,0.155723923
Z,1,10,0.634711005
Z,2,1,0.020880383
Z,2,5,0.535091827
Z,2,10,1.991083732
Z,4,1,0.108058654
Z,4,5,4.462066986
Z,4,10,29.12154951
Alpha,0.5,1,0.009735577
Alpha,0.5,5,0.144313043
Alpha,0.5,10,0.482008696
Alpha,1,1,0.023676923
Alpha,1,5,0.545309135
Alpha,1,10,1.319560096
Alpha,2,1,0.091008173
Alpha,2,5,1.100353846
Alpha,2,10,3.266857895
Alpha,4,1,0.201020192
Alpha,4,5,2.782934135
Alpha,4,10,19.08379565
