,times,frequency,temperature,mass_flow,volume_flow,mouth_pressure,offset,theta,radius,alpha,z,x,alpha_ref,z_ref,x_ref,flow_ref,offset_ref,theta_ref,radius_ref
0,0.0,2100.0,27.1875,0.7578125,1.1640625,-7.46780252456665,76.3,45.0,115.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.3,45.0,115.98
1,0.06696009635925293,2100.0,27.1875,0.755859375,1.1640625,-7.455639839172363,76.3,45.0,115.98,0.0,0.0,0.0,0.0,0.13,0.0,0.0,76.17,45.0,115.89
2,0.1306169033050537,2100.0,27.1875,0.755859375,1.1640625,-7.382664680480957,76.3,45.0,115.98,0.0,0.0,0.0,0.0,0.29,0.0,0.0,76.01,45.0,115.79
3,0.19257664680480957,2100.0,27.1875,0.755859375,1.162109375,-7.41915225982666,75.95,45.0,115.75,0.0,0.35,0.0,0.0,0.44,0.0,0.0,75.86,45.0,115.69
4,0.25569748878479004,2100.0,27.1875,0.755859375,1.162109375,-7.346177101135254,75.82,45.0,115.67,0.0,0.48,0.0,0.0,0.6,0.0,0.0,75.7,45.0,115.59
5,0.31789708137512207,2100.0,27.1875,0.755859375,1.1640625,-7.2367143630981445,75.69,45.0,115.58,0.0,0.61,0.0,0.0,0.76,0.0,0.0,75.54,45.0,115.49
6,0.37941789627075195,2100.0,27.1875,0.755859375,1.1640625,-7.078600883483887,75.56,45.0,115.49,0.0,0.74,0.0,0.0,0.92,0.0,0.0,75.38,45.0,115.38
7,0.4441535472869873,2100.0,27.1875,0.755859375,1.1640625,-6.811025142669678,75.3,45.0,115.32,0.0,1.0,0.0,0.0,1.07,0.0,0.0,75.23,45.0,115.28
8,0.5072963237762451,2100.0,27.1875,0.755859375,1.162109375,-7.042113304138184,75.17,45.0,115.24,0.0,1.13,0.0,0.0,1.23,0.0,0.0,75.07,45.0,115.18
9,0.5684504508972168,2100.0,27.1875,0.755859375,1.1640625,-6.798862457275391,75.04,45.0,115.16,0.0,1.26,0.0,0.0,1.38,0.0,0.0,74.92,45.0,115.08
10,0.631756067276001,2100.0,27.1875,0.755859375,1.1640625,-6.652912139892578,74.91,45.0,115.07,0.0,1.39,0.0,0.0,1.54,0.0,0.0,74.76,45.0,114.97
11,0.6922242641448975,2100.0,27.1875,0.7578125,1.1640625,-6.969138145446777,74.65,45.0,114.9,0.0,1.65,0.0,0.0,1.7,0.0,0.0,74.6,45.0,114.87
12,0.7563097476959229,2100.0,27.1875,0.7578125,1.1640625,-6.823187828063965,74.52,45.0,114.82,0.0,1.78,0.0,0.0,1.85,0.0,0.0,74.45,45.0,114.77
13,0.8185615539550781,2100.0,27.1875,0.7578125,1.1640625,-6.871837615966797,74.39,45.0,114.74,0.0,1.91,0.0,0.0,2.01,0.0,0.0,74.29,45.0,114.67
14,0.8800323009490967,2100.0,27.1875,0.7578125,1.1640625,-7.151576519012451,74.26,45.0,114.65,0.0,2.04,0.0,0.0,2.17,0.0,0.0,74.13,45.0,114.57
15,0.9431724548339844,2100.0,27.1875,0.755859375,1.1640625,-7.054275989532471,74.01,45.0,114.49,0.0,2.29,0.0,0.0,2.32,0.0,0.0,73.98,45.0,114.47
16,1.0044186115264893,2100.0,27.1875,0.755859375,1.1640625,-7.078600883483887,73.88,45.0,114.4,0.0,2.42,0.0,0.0,2.48,0.0,0.0,73.82,45.0,114.36
17,1.068042278289795,2100.0,27.1875,0.7578125,1.1640625,-7.309689521789551,73.75,45.0,114.32,0.0,2.55,0.0,0.0,2.64,0.0,0.0,73.66,45.0,114.26
18,1.1301517486572266,2100.0,27.1875,0.7578125,1.1640625,-7.175901412963867,73.62,45.0,114.24,0.0,2.68,0.0,0.0,2.79,0.0,0.0,73.51,45.0,114.17
19,1.1925606727600098,2100.0,27.1875,0.7578125,1.1640625,-7.46780252456665,73.37,45.0,114.07,0.0,2.93,0.0,0.0,2.95,0.0,0.0,73.35,45.0,114.07
20,1.254563570022583,2100.0,27.1875,0.7578125,1.1640625,-7.406989574432373,73.24,45.0,113.99,0.0,3.06,0.0,0.0,3.1,0.0,0.0,73.2,45.0,113.97
21,1.3189644813537598,2100.0,27.1875,0.7578125,1.1640625,-7.516452789306641,73.12,45.0,113.91,0.0,3.18,0.0,0.0,3.26,0.0,0.0,73.04,45.0,113.86
