,times,frequency,temperature,mass_flow,volume_flow,mouth_pressure,offset,theta,radius,alpha,z,x,alpha_ref,z_ref,x_ref,flow_ref,offset_ref,theta_ref,radius_ref
0,0.0,2100.0,26.712499618530273,0.728515625,1.1171875,-7.917816638946533,76.08,45.09,115.93,0.09,0.0,0.0,0.0,0.0,0.0,0.0,76.3,45.0,115.98
1,0.07257747650146484,2100.0,26.712499618530273,0.728515625,1.1171875,-8.100255012512207,76.08,45.09,115.93,0.09,0.0,0.0,0.0,0.0,0.0,0.0,76.3,45.0,115.98
2,0.18031549453735352,2100.0,26.712499618530273,0.728515625,1.1171875,-8.002954483032227,76.08,45.09,115.83,0.09,0.0,0.13,0.0,0.0,0.43,0.0,76.3,45.0,115.66
3,0.24141836166381836,2100.0,26.712499618530273,0.728515625,1.119140625,-8.002954483032227,76.08,45.09,115.63,0.09,0.0,0.4,0.0,0.0,0.58,0.0,76.3,45.0,115.54
4,0.30529308319091797,2100.0,26.712499618530273,0.728515625,1.119140625,-8.319180488586426,76.08,45.09,115.5,0.09,0.0,0.56,0.0,0.0,0.74,0.0,76.3,45.0,115.43
5,0.36835455894470215,2100.0,26.712499618530273,0.728515625,1.119140625,-8.173230171203613,76.08,45.09,115.39,0.09,0.0,0.71,0.0,0.0,0.89,0.0,76.3,45.0,115.31
6,0.4292416572570801,2100.0,26.712499618530273,0.728515625,1.1171875,-8.23404312133789,76.08,45.09,115.28,0.09,0.0,0.85,0.0,0.0,1.05,0.0,76.3,45.0,115.19
7,0.4908268451690674,2100.0,26.712499618530273,0.728515625,1.1171875,-7.954304218292236,76.08,45.09,115.08,0.09,0.0,1.12,0.0,0.0,1.2,0.0,76.3,45.0,115.08
8,0.5532572269439697,2100.0,26.712499618530273,0.728515625,1.1171875,-8.44080638885498,76.08,45.09,114.98,0.09,0.0,1.26,0.0,0.0,1.36,0.0,76.3,45.0,114.96
9,0.6151227951049805,2100.0,26.712499618530273,0.728515625,1.1171875,-8.112417221069336,76.08,45.09,114.88,0.09,0.0,1.39,0.0,0.0,1.51,0.0,76.3,45.0,114.85
