,times,frequency,temperature,mass_flow,volume_flow,mouth_pressure,offset,theta,radius,alpha,z,x,alpha_ref,z_ref,x_ref,flow_ref,offset_ref,theta_ref,radius_ref
0,0.0,186.53756726423575,26.328125,0.80859375,1.240234375,-8.428643226623535,0.01,44.5,5.51,-0.5,77.32,86.5,-0.47,77.32,86.5,-0.47,-0.03,44.53,5.51
1,0.059247732162475586,186.53756726423575,26.328125,6.38671875,9.787109375,-8.428643226623535,0.01,44.5,5.51,-0.5,77.32,86.49,-0.47,77.32,86.48,-0.47,-0.03,44.53,5.52
2,0.11585855484008789,102.40147554774721,26.328125,13.533203125,20.6328125,-8.428643226623535,0.01,44.5,5.53,-0.5,77.32,86.47,-0.47,77.32,86.46,-0.47,-0.03,44.53,5.54
3,0.16866540908813477,778.1870895053427,26.328125,16.294921875,24.84375,-8.428643226623535,0.01,44.5,5.55,-0.5,77.32,86.45,-0.47,77.32,86.45,-0.47,-0.03,44.53,5.55
4,0.22247672080993652,778.1870895053427,26.328125,17.216796875,26.248046875,-8.428643226623535,0.01,44.5,5.56,-0.5,77.32,86.44,-0.47,77.32,86.43,-0.47,-0.03,44.53,5.57
5,0.2793281078338623,791.7056448392851,26.328125,17.677734375,26.951171875,-8.428643226623535,0.01,44.5,5.58,-0.5,77.32,86.42,-0.47,77.32,86.42,-0.47,-0.03,44.53,5.59
6,0.3337240219116211,791.7056448392851,26.325000762939453,17.857421875,27.2265625,-8.428643226623535,0.01,44.5,5.59,-0.5,77.32,86.41,-0.47,77.32,86.4,-0.47,-0.03,44.53,5.6
7,0.3937671184539795,778.6391111650394,26.325000762939453,17.96484375,27.388671875,-8.428643226623535,0.01,44.5,5.61,-0.5,77.32,86.39,-0.47,77.32,86.38,-0.47,-0.03,44.53,5.62
8,0.44763946533203125,778.6391111650394,26.321874618530273,17.99609375,27.435546875,-8.428643226623535,0.01,44.5,5.63,-0.5,77.32,86.38,-0.47,77.32,86.37,-0.47,-0.03,44.53,5.63
9,0.503652811050415,780.5233029509538,26.321874618530273,18.0078125,27.453125,-8.428643226623535,0.01,44.5,5.64,-0.5,77.32,86.36,-0.47,77.32,86.35,-0.47,-0.03,44.53,5.65
10,0.5598738193511963,780.6868069302257,26.31562614440918,18.009765625,27.455078125,-8.428643226623535,0.01,44.5,5.66,-0.5,77.32,86.34,-0.47,77.32,86.34,-0.47,-0.03,44.53,5.67
11,0.6144850254058838,780.6868069302257,26.31562614440918,18.0078125,27.453125,-8.428643226623535,0.01,44.5,5.67,-0.5,77.32,86.33,-0.47,77.32,86.32,-0.47,-0.03,44.53,5.68
12,0.6695363521575928,780.1786185237884,26.3125,18.005859375,27.451171875,-8.428643226623535,0.01,44.5,5.69,-0.5,77.32,86.31,-0.47,77.32,86.3,-0.47,-0.03,44.53,5.7
13,0.7230751514434814,780.1786185237884,26.309375762939453,18.0078125,27.453125,-8.428643226623535,0.01,44.5,5.71,-0.5,77.32,86.3,-0.47,77.32,86.29,-0.47,-0.03,44.53,5.71
14,0.7793323993682861,780.8541540520147,26.303125381469727,18.005859375,27.451171875,-8.428643226623535,0.01,44.5,5.72,-0.5,77.32,86.28,-0.47,77.32,86.27,-0.47,-0.03,44.53,5.73
15,0.8447737693786621,780.9127849892523,26.30000114440918,18.009765625,27.455078125,-8.428643226623535,0.01,44.5,5.74,-0.5,77.32,86.26,-0.47,77.32,86.25,-0.47,-0.03,44.53,5.75
16,0.9024028778076172,780.9127849892523,26.296875,18.01171875,27.458984375,-8.428643226623535,0.01,44.5,5.76,-0.5,77.32,86.24,-0.47,77.32,86.23,-0.47,-0.03,44.53,5.77
17,0.9593844413757324,780.9601231231811,26.293750762939453,18.01171875,27.458984375,-8.428643226623535,0.01,44.5,5.77,-0.5,77.32,86.23,-0.47,77.32,86.22,-0.47,-0.03,44.53,5.78
18,1.0177748203277588,774.6649738008606,26.287500381469727,18.009765625,27.455078125,-8.428643226623535,0.01,44.5,5.79,-0.5,77.32,86.21,-0.47,77.32,86.2,-0.47,-0.03,44.53,5.8
19,1.0709939002990723,774.6649738008606,26.28437614440918,18.0078125,27.453125,-8.428643226623535,0.01,44.5,5.81,-0.5,77.32,86.19,-0.47,77.32,86.19,-0.47,-0.03,44.53,5.81
20,1.1265785694122314,780.6072310855357,26.278125762939453,18.005859375,27.44921875,-8.428643226623535,0.01,44.5,5.83,-0.5,77.32,86.18,-0.47,77.32,86.18,-0.47,-0.03,44.53,5.83
21,1.1806704998016357,780.6072310855357,26.274999618530273,18.001953125,27.443359375,-8.428643226623535,0.01,44.5,5.83,-0.5,77.32,86.17,-0.47,77.32,86.16,-0.47,-0.03,44.53,5.84
