,times,frequency,temperature,mass_flow,volume_flow,mouth_pressure,offset,theta,radius,alpha,z,x,alpha_ref,z_ref,x_ref,flow_ref,offset_ref,theta_ref,radius_ref
0,0.0,206.05778817499245,27.65937614440918,0.734375,1.13671875,-7.200226306915283,-1.03,44.53,7.5,-0.47,77.84,83.93,-0.5,77.84,83.93,-0.5,-0.99,44.5,7.5
1,0.08421921730041504,206.05778817499245,27.65937614440918,1.98828125,3.078125,29.773910522460938,-0.99,44.5,7.5,-0.5,77.84,83.93,-0.5,77.84,83.93,-0.5,-0.99,44.5,7.5
2,0.16973042488098145,206.05778817499245,27.65937614440918,4.63671875,7.169921875,32.52264404296875,-0.99,44.5,7.5,-0.5,77.84,83.93,-0.5,77.84,83.93,-0.5,-0.99,44.5,7.5
3,0.24547576904296875,206.05778817499245,27.65937614440918,5.041015625,7.79296875,30.965839385986328,-0.99,44.5,7.5,-0.5,77.84,83.93,-0.5,77.84,83.93,-0.5,-0.99,44.5,7.5
4,0.3107733726501465,206.05778817499245,27.65937614440918,5.08984375,7.869140625,32.096954345703125,-0.99,44.5,7.5,-0.5,77.84,83.93,-0.5,77.84,83.93,-0.5,-0.99,44.5,7.5
5,0.3769817352294922,206.05778817499245,27.65937614440918,5.1171875,7.912109375,31.671266555786133,-0.99,44.5,7.5,-0.5,77.84,83.93,-0.5,77.84,83.93,-0.5,-0.99,44.5,7.5
6,0.4420297145843506,206.05778817499245,27.65625,5.16796875,7.990234375,31.671266555786133,-0.99,44.5,7.5,-0.5,77.84,83.93,-0.5,77.84,83.93,-0.5,-0.99,44.5,7.5
7,0.5058751106262207,206.05778817499245,27.65625,5.197265625,8.03515625,32.18209457397461,-0.99,44.5,7.5,-0.5,77.84,83.93,-0.5,77.84,83.93,-0.5,-0.99,44.5,7.5
8,0.5782077312469482,206.05778817499245,27.65625,5.2265625,8.08203125,32.82670974731445,-0.99,44.5,7.5,-0.5,77.84,83.93,-0.5,77.84,83.93,-0.5,-0.99,44.5,7.5
9,0.677898645401001,206.05778817499245,27.653125762939453,5.2890625,8.1796875,34.23756408691406,-0.99,44.5,7.5,-0.5,77.84,83.93,-0.5,77.84,83.93,-0.5,-0.99,44.5,7.5
10,0.741478443145752,206.05778817499245,27.649999618530273,5.345703125,8.267578125,35.453819274902344,-0.99,44.5,7.5,-0.5,77.84,83.93,-0.5,77.84,83.93,-0.5,-0.99,44.5,7.5
11,0.8237078189849854,206.05778817499245,27.649999618530273,5.376953125,8.3125,35.86734390258789,-0.99,44.5,7.5,-0.5,77.84,83.93,-0.5,77.84,83.93,-0.5,-0.99,44.5,7.5
12,0.8980658054351807,206.05778817499245,27.649999618530273,5.435546875,8.404296875,36.93764877319336,-0.99,44.5,7.5,-0.5,77.84,83.93,-0.5,77.84,83.93,-0.5,-0.99,44.5,7.5
13,0.9668710231781006,206.05778817499245,27.646875381469727,5.462890625,8.447265625,38.03227615356445,-0.99,44.5,7.5,-0.5,77.84,83.93,-0.5,77.84,83.93,-0.5,-0.99,44.5,7.5
14,1.0259242057800293,206.05778817499245,27.646875381469727,5.490234375,8.490234375,37.205223083496094,-0.99,44.5,7.5,-0.5,77.84,83.93,-0.5,77.84,83.93,-0.5,-0.99,44.5,7.5
15,1.0886588096618652,206.05778817499245,27.64375114440918,5.55078125,8.580078125,38.640403747558594,-0.99,44.5,7.5,-0.5,77.84,83.93,-0.5,77.84,83.93,-0.5,-0.99,44.5,7.5
